,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
2259,Putusan MAHKAMAH AGUNG Nomor 65 K/Pid/2023,13,2,2023-03-30,06-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2260,Upload :,6,4,2023-03-30,05-08-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2261,Upload :,37,12,2023-03-30,28-09-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Waris,Berkekuatan Hukum Tetap
2262,Upload :,6,3,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
2263,Putus :,4,2,2023-03-30,13-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2264,Putus :,20,9,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2265,Putus :,7,3,2023-03-30,22-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2266,Putus :,5,2,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2267,Register :,11,8,2023-03-30,09-02-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2268,Putusan MAHKAMAH AGUNG Nomor 6325 B/PK/PJK/2022,18,12,2023-03-30,11-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
2269,Putusan MAHKAMAH AGUNG Nomor 5033 K/Pid.Sus/2022,23,7,2023-03-30,06-10-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Perceraian,Berkekuatan Hukum Tetap
2270,Putusan MAHKAMAH AGUNG Nomor 804 K/AG/2022,10,3,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2271,Upload :,10,3,2023-03-30,07-09-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2272,Upload :,164,102,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  ITE,Berkekuatan Hukum Tetap
2273,Upload :,7,3,2023-03-30,24-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2274,Upload :,15,11,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata,Berkekuatan Hukum Tetap
2275,Upload :,11,3,2023-03-30,22-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2276,Upload :,8,3,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2277,Upload :,8,3,2023-03-30,16-08-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2278,Putus :,18,3,2023-03-30,07-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2279,Putus :,15,9,2023-03-30,05-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
2280,Putusan MAHKAMAH AGUNG Nomor 5404 B/PK/PJK/2022,4,2,2023-03-30,13-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2281,Putusan MAHKAMAH AGUNG Nomor 6678 K/Pid.Sus/2022,5,3,2023-03-30,06-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2282,Putusan MAHKAMAH AGUNG Nomor 1105 K/Pid/2020,19,8,2023-03-30,09-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penipuan,Berkekuatan Hukum Tetap
2283,Putusan MAHKAMAH AGUNG Nomor 178 PK/AG/2022,41,22,2023-03-30,15-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Harta Bersama,Berkekuatan Hukum Tetap
2284,Putusan MAHKAMAH AGUNG Nomor 1127 K/Pid/2022,10,4,2023-03-30,21-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penggelapan,Berkekuatan Hukum Tetap
2285,Upload :,10,5,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2286,Upload :,6,3,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2287,Putus :,11,3,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2288,Putus :,25,3,2023-03-30,14-12-2020,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2289,Putus :,15,3,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2290,Register :,4,2,2023-03-30,15-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2291,Putusan MAHKAMAH AGUNG Nomor 5045 B/PK/PJK/2022,5,2,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
